BGP_ID,replicate,penn_length,penn_num,plum_length,plum_num,plum_nodes
23N00453,A,0.371,20,0.624,21,7
23N00453,B,0.347,20,0.666,29,7
23N00453,C,0.399,18,0.874,28,7
23N00454,A,0.426,24,0.955,36,7
23N00454,B,0.388,20,0.922,32,7
23N00454,C,0.27,21,0.941,30,8
23N00458,A,0.283,22,0.932,24,6
23N00458,B,0.388,21,1.001,28,6
23N00458,C,0.351,21,0.948,30,7
23N00460,A,0.346,16,0.548,32,7
23N00460,B,0.445,12,1.308,27,7
23N00460,C,0.435,13,0.857,23,6
23N00460,D,0.386,12,0.801,29,6
23N00460 ,E,0.353,13,0.626,37,7
23N00461,A,0.258,17,0.712,29,7
23N00461,B,0.317,18,0.624,27,8
23N00461,C,0.244,21,0.695,31,7
23N00461,D,0.343,19,0.714,31,8
23N00461,E,0.297,17,0.668,25,8
23N00462,A,0.278,21,1.057,28,7
23N00462,B,0.322,18,0.744,25,8
23N00462,C,0.298,22,0.859,26,8
23N00462,D,0.28,19,0.72,24,8
23N00462,E,0.435,19,0.686,25,8
23N00463,A,0.365,22,0.691,30,7
23N00463,B,0.426,23,0.594,30,7
23N00463,C,0.392,23,0.759,29,7
23N00464,A,0.568,13,0.951,24,5
23N00464,B,0.472,13,1.085,24,5
23N00464,C,0.524,14,0.882,29,6
23N00465,A,0.352,21,0.839,35,7
23N00465,B,0.3,23,0.838,30,7
23N00465,C,0.262,22,0.787,32,8
23N00466,A,0.458,23,0.809,29,7
23N00466,B,0.393,16,0.689,27,7
23N00466,C,0.309,20,0.866,35,8
23N00467,A,0.553,12,0.9,18,6
23N00467,B,0.532,16,0.959,23,6
23N00467,C,0.447,12,1.017,27,6
23N00468,A,0.342,23,0.88,21,7
23N00468,B,0.302,18,0.884,23,7
23N00468,C,0.311,19,0.79,32,8
23N00469,A,0.423,21,0.652,27,7
23N00469,B,0.356,18,1.03,30,7
23N00469,C,0.224,20,0.779,30,7
23N00470,A,0.402,19,0.789,31,7
23N00470,B,0.351,23,0.76,31,7
23N00470,C,0.329,23,0.895,32,8
23N00471,A,0.31,27,0.779,27,6
23N00471,B,0.377,24,0.757,31,7
23N00471,C,0.349,23,0.711,32,7
23N00472,A,0.44,21,0.882,32,6
23N00472,B,0.479,21,0.785,34,7
23N00472,C,0.388,22,0.726,34,7
23N00473,A,0.425,17,0.78,32,7
23N00473,B,0.346,22,0.755,32,7
23N00473,C,0.368,18,0.943,30,7
23N00474,A,0.5,17,1.172,27,6
23N00474,B,0.34,20,0.936,28,7
23N00474,C,0.355,21,0.596,29,7
23N00475,A,0.402,13,0.931,29,7
23N00475,B,0.399,15,1.008,25,6
23N00475,C,0.388,15,1.133,20,6
23N00476,A,0.415,16,0.757,27,7
23N00476,B,0.399,18,0.914,22,7
23N00476,C,0.322,18,0.829,24,7
23N00477,A,0.31,19,0.899,29,7
23N00477,B,0.263,21,0.74,29,7
23N00477,C,0.374,20,0.75,21,7
23N00478,A,0.35,21,0.657,27,7
23N00478,B,0.284,19,0.538,27,8
23N00478,C,0.348,21,0.738,27,7
23N00479,A,0.508,15,0.924,26,6
