BGP_ID,band_number,recap,site,site_code,lat,long,month,day,year,collected_by,feather,blood,sequenced,sex,age,weight,wing_chord,tarsus,tarsus_hair_full,tarsus_hair_jointdown,bill_color,tail_length,nare_length,bristle_length,bristle_per,beak_depth,beak_width,nare_end_length,culmen_end_length
23N00488,1361-46591,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,23.5,100,18.5,15.03,4.58,3,60,2.45,2.13,95,NA,NA,NA,NA
23N00489,1361-46592,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,24.4,103,20.6,16.72,5.37,3,58,2.15,1.93,90,NA,NA,NA,NA
23N00490,1361-46593,N,Piutepass,PIPA,NA,NA,7,24,2020,Tim Brown,Y,Y,Y,UNK,4,24.6,99,20.1,17.15,6.51,3,63,2.05,1.97,95,NA,NA,NA,NA
23N00491,1361-46594,N,Piutepass,PIPA,NA,NA,7,25,2020,Tim Brown,Y,Y,Y,UNK,4,25.4,99,20.3,17.59,6.48,3,64,2.01,2.17,100,NA,NA,NA,NA
23N00492,1361-46595,N,Piutepass,PIPA,NA,NA,7,25,2020,Tim Brown,Y,Y,Y,M,3,26.2,104,20.4,16.79,5.57,6,66,2.5,2.25,85,6.74,5.54,9.12,11.55
23N00493,1361-46596,N,Piutepass,PIPA,NA,NA,7,25,2020,Tim Brown,Y,Y,Y,F,3,24.8,97,19.6,17.01,6.14,4,59,2.52,2.27,50,6.25,6.34,8.22,11.52
23N00494,1361-46597,N,Piutepass,PIPA,NA,NA,7,25,2020,Tim Brown,Y,Y,Y,F,2,23.3,96,19.8,19.98,4.59,4,59,2.59,2.15,60,6.69,6.61,9.54,11.76
23N00495,1361-46598,N,Piutepass,PIPA,NA,NA,7,25,2020,Tim Brown,Y,Y,Y,M,2,26.6,99,20,15.38,5.84,6,67,2.19,2.27,100,6.58,6.54,8.52,11.7
19N00121,1361-46501,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,3,25.34,97,19.9,14.44,5.12,4,59,2.05,2.02,95,6.67,6.15,8.71,11.45
19N00122,1361-46502,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,2,26.5,98,19.6,15.08,4.7,6,57,2.25,2.02,90,6.9,6.3,9.1,11.6
19N00123,1361-46503,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,M,2,25.1,101,19.5,13.98,4.02,6,60,1.91,2.11,90,6.9,5.9,8.8,11.2
19N00124,1361-46504,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,2,25.8,98,19.7,14.25,5.05,6,57,2.2,2.21,60,6.8,6.4,8.7,11.8
19N00125,1361-46505,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,2,26,96,19.7,13.78,4.12,4,56,2.11,1.79,50,6.7,6.2,9,11.8
19N00126,1361-46506,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,2,22.7,92,19.2,13.44,3.99,6,57,1.89,1.77,75,7.4,5.7,9,11.1
19N00127,1361-46507,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,M,3,25,102,20.1,15.01,4.1,6,62,1.67,1.61,40,6.84,6.5,8.2,12
19N00128,1361-46508,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,M,3,26.1,102,20.3,14.8,4.6,6,61,2.08,2.02,90,7.1,6.3,8.6,11.5
19N00129,1361-46509,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,M,2,25.1,101,19.5,11.2,4.26,6,59,2.07,1.99,85,6.7,5.9,9,11.4
19N00130,1361-46510,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,M,3,25.4,103,20.6,15.11,5.46,6,62,1.7,2.01,95,6.7,6.3,9.2,11.5
19N00131,1361-46511,N,WhiteMtn,WMTN,NA,NA,7,10,2019,Tim Brown,Y,Y,Y,F,2,24.6,98,19.6,14.5,4.5,4,57,1.64,2.19,70,6.6,5.8,8.8,11
19N00132,1361-46512,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,M,3,27.38,102,19.9,15.6,5.5,6,62,1.84,2.56,70,6.9,6.6,9.2,11.1
19N00133,1361-46513,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,24.37,93,19.9,14.7,8.5,4,54,2.09,2.95,55,7,6.3,9.7,12
19N00134,1361-46514,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,24.35,94,20.2,15.05,4.13,4,55,2.23,2.83,90,7,6.6,9.6,12.2
19N00135,1361-46515,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,25.48,96,19.6,14.79,5.77,4,56,2.09,2.44,90,6.96,6.72,8.54,11.16
19N00136,1361-46516,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,25.51,94,20.3,14.37,6.67,6,57,2.56,2.66,60,7.25,6.37,9.46,12.88
19N00137,1361-46517,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,23.77,93,19.8,15.32,5.7,4,57,2.32,2.86,80,7,6.44,9,11
19N00138,1361-46518,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,F,2,26.22,98,20,14.09,4.79,4,58,2.29,2.93,85,7.1,6.62,8.87,11.58
19N00139,1361-46519,N,WhiteMtn,WMTN,NA,NA,7,11,2019,Tim Brown,Y,Y,Y,M,3,25.72,106,19.9,13.88,6.2,NA,61,1.83,2.68,75,6.57,6,9.75,11.99
19N00140,1361-46520,N,VirginiaLakes,VILA,NA,NA,7,19,2019,Tim Brown,Y,Y,Y,F,2,24.62,94,19.2,11.49,3.34,4,56,1.53,3.04,100,6.53,6.03,8.46,12.18
19N00141,1361-46521,N,VirginiaLakes,VILA,NA,NA,7,19,2019,Tim Brown,Y,Y,Y,M,3,24.72,105,20.4,17.4,6.45,6,61,1.6,3.1,95,6.9,5.96,9.17,12.01
19N00142,1361-46522,N,VirginiaLakes,VILA,NA,NA,7,20,2019,Tim Brown,Y,Y,Y,F,2,23.63,95,19.2,11.62,3.64,6,63,1.64,0.89,40,6.84,6.16,9.7,12.37
19N00143,1361-46523,N,VirginiaLakes,VILA,NA,NA,7,20,2019,Tim Brown,Y,Y,Y,F,2,24.3,94,19.7,16.69,5.65,6,56,1.94,2.79,100,6.79,6.41,9.58,12
NA,2791-93510,N,WhiteMtn,WMTN,NA,NA,7,17,2018,Tim Brown,Y,Y,N,M,2,25.8,101,19,NA,NA,6,NA,NA,NA,NA,6.8,5.7,9.4,11.5
NA,2791-93511,N,WhiteMtn,WMTN,NA,NA,7,19,2018,Tim Brown,Y,Y,N,F,2,23.8,96,19.1,NA,NA,6,NA,NA,NA,NA,6.6,5.5,8.8,11.5
NA,2791-93512,N,WhiteMtn,WMTN,NA,NA,7,22,2018,Tim Brown,Y,Y,N,M,3,26.1,106,20.2,NA,NA,6,NA,NA,NA,NA,6.6,5.4,8.3,11.2
NA,2791-93495,N,Piutepass,PIPA,NA,NA,6,19,2018,Tim Brown,Y,Y,N,F,2,24.1,97,19.3,NA,NA,6,NA,NA,NA,NA,6.5,5.7,8.7,11.1
NA,2791-93496,N,Piutepass,PIPA,NA,NA,6,19,2018,Tim Brown,Y,Y,N,M,2,25.4,105,20.2,NA,NA,6,NA,NA,NA,NA,6.9,5.9,8.8,11.5
NA,2791-93497,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,3,24.7,105,19.9,NA,NA,6,NA,NA,NA,NA,5.8,5.1,8.9,11.3
NA,2791-93498,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,2,26.7,105,19.6,NA,NA,6,NA,NA,NA,NA,7.1,6,9.2,11.8
NA,2791-93499,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,3,25.6,104,19.9,NA,NA,6,NA,NA,NA,NA,6.9,5.8,9.1,12
NA,2791-93500,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,3,25.2,107,20,NA,NA,6,NA,NA,NA,NA,6.4,5.8,8.9,11.4
NA,2791-93501,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,2,24,100,19.8,NA,NA,6,NA,NA,NA,NA,5.9,5.2,8.8,11
NA,2791-93502,N,Piutepass,PIPA,NA,NA,6,20,2018,Tim Brown,Y,Y,N,M,2,26.5,105,20.3,NA,NA,6,NA,NA,NA,NA,7,5.7,9,11.9
NA,2791-93503,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,M,2,25.6,100,19.6,NA,NA,6,NA,NA,NA,NA,6.8,5.8,9.1,11.2
NA,2791-93504,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,F,3,27,97,19.7,NA,NA,6,NA,NA,NA,NA,6.8,5.5,8.4,11.2
NA,2791-93505,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,F,2,26.3,97,19.8,NA,NA,6,NA,NA,NA,NA,6.1,5.3,8.6,10.9
NA,2791-93506,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,M,2,24.5,100,20.3,NA,NA,6,NA,NA,NA,NA,6.1,4.9,8.5,10.7
NA,2791-93507,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,F,2,24.7,99,19.3,NA,NA,6,NA,NA,NA,NA,6.3,5.6,8,10.8
NA,2791-93508,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,Y,N,M,3,25.8,107,20,NA,NA,6,NA,NA,NA,NA,6.5,6,9,11.3
NA,2791-93509,N,Piutepass,PIPA,NA,NA,6,21,2018,Tim Brown,Y,N,N,F,2,25.9,98,19.9,NA,NA,6,NA,NA,NA,NA,6.5,5.5,8.6,11.1
NA,2791-93513,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,M,3,24.5,105,19.6,NA,NA,6,NA,NA,NA,NA,6.5,5.9,8.8,11.3
NA,2791-93514,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,F,2,24.6,99,19.5,NA,NA,6,NA,NA,NA,NA,6.4,5.9,8.4,11.2
NA,2791-93515,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,M,3,24.6,104,20.3,NA,NA,6,NA,NA,NA,NA,6.3,5.7,8.7,10.9
NA,2791-93516,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,M,3,26.9,105,20.3,NA,NA,6,NA,NA,NA,NA,6.3,5.5,8.6,11.1
NA,2791-93517,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,F,3,25.1,99,19.7,NA,NA,4,NA,NA,NA,NA,6.4,5.6,8.4,11.2
NA,2791-93518,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,M,3,25,106,20.2,NA,NA,6,NA,NA,NA,NA,6.4,5.5,8.3,10.9
NA,2791-93519,N,VirginiaLakes,VILA,NA,NA,7,26,2018,Tim Brown,Y,Y,N,M,3,24.2,103,20.3,NA,NA,6,NA,NA,NA,NA,6.5,5.5,8.5,11.2
24N13199,3011-99806,N,Kearsarge Lakes,KELA,NA,NA,7,17,2024,Tim Brown,Y,Y,Y,UNK,4,22.73,102,19.2,20.98,7.2,3,65,1.77,1.6,100,5.79,5.75,8.54,10.85
24N13194,3011-99801,N,Wheeler Peak,WHPE,NA,NA,7,7,2024,Tim Brown,Y,Y,Y,F,2,25.88,97,20.2,17.5,6.65,4,63,1.34,2.01,100,5.92,5.82,8.11,12.64
24N13195,3011-99802,N,Wheeler Peak,WHPE,NA,NA,7,7,2024,Tim Brown,Y,Y,Y,M,2,25.66,101,20.1,16.44,5.68,6,62,1.71,1.72,85,6.08,5.56,7.98,10.74
24N13196,3011-99803,N,Wheeler Peak,WHPE,NA,NA,7,7,2024,Tim Brown,Y,Y,Y,M,2,25.46,100,19.9,12.04,5.08,6,60,1.82,2.46,90,6.25,5.45,7.88,10.46
24N13197,3011-99804,N,Wheeler Peak,WHPE,NA,NA,7,7,2024,Tim Brown,Y,Y,Y,F,3,25.65,97,18.9,7.32,4.97,5,66,1.53,2.52,80,6.62,5.94,8.48,10.67
24N13198,3011-99805,N,Wheeler Peak,WHPE,NA,NA,7,8,2024,Tim Brown,Y,Y,Y,F,2,24.36,96,19.8,16.98,7.82,NA,69,1.68,2.28,100,7.03,6.04,8.18,11.88
