"","BGP_ID","band_number","site_code","sex","age","wing_chord","tarsus","tail_length","nare_length","bristle_length","beak_depth","beak_width","culmen_end_length","pen_length","pen_num","plum_length","plum_number","nodes"
"39","23N00554","2821-42655","PIPA","F",2,94,19.38,54,1.75,2.39,5.92,5.33,12.82,0.357333333333333,23,0.752666666666667,30.3333333333333,7.33333333333333
"40","23N00555","2821-42656","PIPA","UNK",4,92,19.42,52,1.53,1.65,4.74,5.5,9.4,0.353,20.6666666666667,0.842333333333333,31.3333333333333,7.33333333333333
"41","23N00556","2821-42657","PIPA","F",3,93,19.32,59,2.33,3.22,6.49,5.7,11.83,0.308333333333333,23,0.912666666666667,26.3333333333333,7
"42",NA,"2821-42658","PIPA","M",2,104,19.98,59,2.07,2.69,5.36,5.26,11.83,NA,NA,NA,NA,NA
"43","23N00496","1361-46599","WMTN","M",3,105,20.5,69,2.02,3.27,7.01,6.93,11.61,0.380333333333333,19,0.849666666666667,29,7.66666666666667
"44","23N00421","1361-46000","WMTN","M",3,103,19.89,67,2.9,2.66,6.49,5.66,11.36,0.267666666666667,21,0.596333333333333,33,9.33333333333333
"45","23N00497","2821-42601","WMTN","F",3,97,20.72,55,2.29,2.83,6.55,6.37,11.36,0.315666666666667,20.6666666666667,0.766333333333333,29.3333333333333,8
"46","23N00498","2821-42602","WMTN","F",3,95,20.7,54,2.03,1.82,7.01,6.53,10.89,0.301,18.6666666666667,0.692,29.3333333333333,7.66666666666667
"47","23N00499","2821-42603","WMTN","F",3,98,19.8,53,2.04,1.99,7.01,6.54,11.11,0.311333333333333,21.3333333333333,0.660333333333333,27.6666666666667,7.33333333333333
"48","23N00500","2821-42604","WMTN","F",2,94,19.9,58,1.89,1.62,6.86,5.47,11.02,0.346666666666667,19.3333333333333,0.770666666666667,30.6666666666667,8
"49","23N00501","2821-42605","WMTN","M",3,101,20.32,63,2.69,2.8,7.03,7,11.59,0.346333333333333,18,0.813666666666667,29.6666666666667,8
"50","23N00502","2821-42606","WMTN","F",2,99,20.05,58,1.96,2.06,6.83,5.51,10.78,0.416666666666667,18.6666666666667,0.781,28.6666666666667,7.33333333333333
"51","23N00503","2821-42607","PIPA","M",3,105,21,59,2.2,2,6.9,5.9,11.8,0.409,21,0.828333333333333,29,7
"52","23N00504","2821-42608","PIPA","M",3,104,21.5,61,2.5,2,6.9,6.1,11.5,0.300666666666667,23,0.776333333333333,31.3333333333333,6.66666666666667
"53","23N00505","2821-42609","PIPA","M",3,102,21,58,3.2,2.5,6.5,4.8,12,0.408333333333333,20,1.05066666666667,27,7
